word,categories
a,"['funct', 'article']"
abandon,"['affect', 'negemo', 'sad', 'cogmech', 'inhib']"
abdomen,"['bio', 'body']"
abilit,['achieve']
able,['achieve']
abortion,"['bio', 'health', 'sexual']"
about,"['funct', 'adverb', 'preps']"
above,"['funct', 'preps', 'space', 'relativ']"
abrupt,"['time', 'relativ']"
abs,"['bio', 'body']"
absent,['work']
absolute,"['cogmech', 'certain']"
absolutely,"['funct', 'adverb', 'cogmech', 'certain', 'assent']"
abstain,"['cogmech', 'inhib']"
abuse,"['affect', 'negemo', 'anger']"
abusi,"['affect', 'negemo', 'anger']"
academ,['work']
accept,"['affect', 'posemo', 'cogmech', 'insight']"
accepta,"['affect', 'posemo', 'cogmech', 'insight']"
accepted,"['verb', 'past', 'affect', 'posemo', 'cogmech', 'insight']"
accepting,"['affect', 'posemo', 'cogmech', 'insight']"
accepts,"['affect', 'posemo', 'cogmech', 'insight']"
accomplish,"['work', 'achieve']"
account,['money']
accura,"['cogmech', 'certain']"
ace,['achieve']
ache,"['affect', 'negemo', 'sad', 'bio', 'health']"
achiev,"['work', 'achieve']"
aching,"['affect', 'negemo', 'sad', 'bio', 'health']"
acid,['percept']
acknowledg,"['cogmech', 'insight']"
acne,"['bio', 'health']"
acquainta,"['social', 'friend']"
acquir,['achieve']
acquisition,['achieve']
acrid,['percept']
across,"['funct', 'preps', 'space', 'relativ']"
act,"['relativ', 'motion']"
action,"['motion', 'relativ']"
activat,"['cogmech', 'cause']"
active,"['affect', 'posemo']"
actor,['leisure']
actress,['leisure']
actually,"['funct', 'adverb']"
add,"['cogmech', 'incl']"
addict,"['bio', 'health']"
addit,"['cogmech', 'incl']"
address,['home']
adequa,['achieve']
adjust,"['cogmech', 'insight']"
administrat,['work']
admir,"['affect', 'posemo']"
admit,"['verb', 'present', 'social', 'cogmech', 'insight']"
admits,"['verb', 'present', 'social', 'cogmech', 'insight']"
admitted,"['verb', 'past', 'social', 'cogmech', 'insight']"
admitting,"['social', 'cogmech', 'insight']"
ador,"['affect', 'posemo']"
adult,"['social', 'humans']"
adults,"['social', 'humans']"
advanc,"['motion', 'relativ', 'achieve']"
advantag,"['affect', 'posemo', 'achieve']"
adventur,"['affect', 'posemo']"
advers,"['affect', 'negemo']"
advertising,['work']
advice,['social']
advil,"['bio', 'health']"
advis,"['social', 'work']"
aerobic,['leisure']
affair,['social']
affect,"['cogmech', 'cause']"
affected,"['verb', 'past', 'cogmech', 'cause']"
affecting,"['cogmech', 'cause']"
affection,"['affect', 'posemo']"
affects,"['cogmech', 'cause']"
afraid,"['affect', 'negemo', 'anx']"
after,"['funct', 'preps', 'time', 'relativ']"
afterlife,"['time', 'relativ', 'relig']"
aftermath,"['time', 'relativ']"
afternoon,"['time', 'relativ']"
afterthought,"['cogmech', 'insight', 'time', 'relativ']"
afterward,"['time', 'relativ']"
again,"['funct', 'adverb', 'time', 'relativ']"
against,"['funct', 'preps']"
age,"['time', 'relativ']"
