review_text,n_votes,rating,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"Mind blowingly cool. Best science fiction I've read in some time. I just loved all the descriptions of the society of the future - how they lived in trees, the notion of owning property or even getting married was gone. How every surface was a screen. 
 The undulations of how society responds to the Trisolaran threat seem surprising to me. Maybe its more the Chinese perspective, but I wouldn't have thought the ETO would exist in book 1, and I wouldn't have thought people would get so over-confident in our primitive fleet's chances given you have to think that with superior science they would have weapons - and defenses - that would just be as rifles to arrows once were. 
 But the moment when Luo Ji won as a wallfacer was just too cool. I may have actually done a fist pump. Though by the way, if the Dark Forest theory is right - and I see no reason why it wouldn't be - we as a society should probably stop broadcasting so much signal out into the universe.",16,5,1,174,32.86,27.51,39.59,65.53,19.33,19.54,85.63,68.97,59.2,9.2,6.9,4.02,1.15,0.57,0.0,1.15,2.3,15.52,9.2,1.15,10.92,13.22,9.77,8.05,2.3,20.69,4.02,3.45,5.17,1.72,1.15,2.3,19.54,1.72,17.82,5.75,3.45,4.6,4.02,0.57,2.87,0.0,4.6,3.45,0.57,1.15,0.57,0.0,0.0,0.0,0.0,0.0,7.47,2.3,0.0,0.0,0.57,0.0,1.15,5.17,0.57,0.0,0.0,0.0,0.57,0.0,0.57,0.0,1.72,0.0,0.0,1.72,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.57,0.57,1.15,7.47,8.62,0.57,0.57,5.17,1.15,0.0,1.15,2.87,6.9,0.57,2.3,0.0,0.0,0.0,0.0,0.0,13.79,5.17,2.3,0.0,0.0,2.87,3.45,0
"This is a special book. It started slow for about the first third, then in the middle third it started to get interesting, then the last third blew my mind. This is what I love about good science fiction - it pushes your thinking about where things can go. 
 It is a 2015 Hugo winner, and translated from its original Chinese, which made it interesting in just a different way from most things I've read. For instance the intermixing of Chinese revolutionary history - how they kept accusing people of being ""reactionaries"", etc. 
 It is a book about science, and aliens. The science described in the book is impressive - its a book grounded in physics and pretty accurate as far as I could tell. Though when it got to folding protons into 8 dimensions I think he was just making stuff up - interesting to think about though. 
 But what would happen if our SETI stations received a message - if we found someone was out there - and the person monitoring and answering the signal on our side was disillusioned? That part of the book was a bit dark - I would like to think human reaction to discovering alien civilization that is hostile would be more like Enders Game where we would band together. 
 I did like how the book unveiled the Trisolaran culture through the game. It was a smart way to build empathy with them and also understand what they've gone through across so many centuries. And who know a 3 body problem was an unsolvable math problem? But I still don't get who made the game - maybe that will come in the next book. 
 I loved this quote: 
 ""In the long history of scientific progress, how many protons have been smashed apart in accelerators by physicists? How many neutrons and electrons? Probably no fewer than a hundred million. Every collision was probably the end of the civilizations and intelligences in a microcosmos. In fact, even in nature, the destruction of universes must be happening at every second--for example, through the decay of neutrons. Also, a high-energy cosmic ray entering the atmosphere may destroy thousands of such miniature universes....""",28,5,1,358,63.49,35.27,64.13,45.44,17.9,23.18,87.99,70.95,58.94,12.29,5.59,2.51,1.12,0.28,0.28,0.84,6.7,17.6,9.22,3.07,14.25,8.66,7.26,6.7,0.56,16.2,6.98,5.59,3.07,1.68,0.56,0.84,13.69,0.84,12.85,3.63,2.23,2.51,2.23,0.56,3.07,0.0,5.87,3.63,1.96,2.23,1.4,0.56,0.0,0.28,0.28,0.0,6.98,2.79,0.28,0.0,0.56,0.28,1.12,3.91,0.0,0.0,0.0,0.28,0.84,0.28,0.56,0.0,4.47,0.84,0.0,3.63,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.28,0.28,0.0,1.96,4.75,9.22,0.0,2.23,7.26,0.28,0.0,0.0,4.19,6.42,2.51,0.56,0.0,0.0,0.0,0.0,0.0,14.8,5.31,3.07,1.12,0.0,0.84,4.47,0
"I haven't read a fun mystery book in a while and not sure I've ever read Poirot. Was looking for a fun read set in France while I was on holiday there and this didn't disappoint! Fast paced and good mystery. 
 One that struck me was how similar Poirot is to Sherlock. They are both detectives, have a ex-military sidekick who is telling the story, and solve mysteries using their superior wit. Poirot seems like a French Sherlock. I'm curious if he was inspired by Sherlock.",6,3,1,86,22.0,6.98,91.21,95.15,12.29,19.77,87.21,69.77,54.65,12.79,10.47,5.81,0.0,0.0,1.16,2.33,2.33,12.79,6.98,1.16,8.14,13.95,3.49,8.14,3.49,23.26,5.81,2.33,3.49,1.16,1.16,2.33,18.6,1.16,17.44,5.81,2.33,0.0,8.14,0.0,5.81,0.0,8.14,6.98,1.16,5.81,4.65,1.16,0.0,0.0,1.16,0.0,9.3,2.33,0.0,0.0,0.0,0.0,2.33,6.98,0.0,1.16,0.0,1.16,1.16,0.0,1.16,0.0,4.65,3.49,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,6.98,6.98,2.33,1.16,3.49,2.33,0.0,0.0,4.65,8.14,5.81,0.0,0.0,0.0,0.0,0.0,0.0,16.28,6.98,2.33,0.0,1.16,4.65,1.16,0
"Fun, fast paced, and disturbing tale of murder. Great beach read while in France, which is where its set. 
 I enjoyed learning more about perfume and the power of scent - hearing the descriptions of how different kinds of scents are captured (distilled, oils, etc) was very interesting. I think in general we (certainly I) don't pay much attention to the power that scent holds over us in different situations. I will pay more attention now after reading this. Though I wish I had a stronger nose - curious if there are ways to cultivate that. My wife and I once bought a game at a wine store that had 30 different materials that they use in wine and you had to guess what they were. I think I got 3 out of 30 right :( 
 This was a dark and twisted book though be forewarned - I generally don't like reading first person accounts of murderers - but in this case it was gripping. And the climax (yes that was a pun) was so ridiculous and fun that it was worth it.",22,4,1,179,23.12,10.38,83.4,27.64,19.89,16.76,89.39,69.27,56.98,17.32,8.94,6.15,1.12,0.56,0.0,1.12,8.38,13.97,5.03,2.79,11.17,9.5,6.7,7.82,1.12,15.64,7.82,2.79,3.35,1.68,0.0,1.68,11.73,0.56,11.17,3.35,1.12,0.56,1.68,0.56,5.03,0.0,6.15,3.35,2.79,2.23,1.68,0.56,0.0,0.0,0.56,0.0,6.7,2.79,0.0,0.0,1.12,0.56,0.56,3.91,0.56,0.0,0.56,0.0,0.0,0.0,0.0,0.0,6.15,2.23,0.0,1.12,3.35,0.0,2.79,0.0,0.0,0.0,0.0,1.12,0.0,1.12,1.12,1.12,0.56,1.12,0.0,0.0,0.0,0.0,0.0,1.12,5.03,9.5,1.12,1.12,5.59,0.56,0.56,0.56,2.79,7.26,3.91,1.12,1.12,0.56,0.56,0.0,0.0,15.64,5.03,2.79,0.0,0.0,1.12,6.7,0
A fun book that gives you a sense of living in Paris as an expat and what to appreciate about French culture. Narrated by the author so definitely recommend listening. Great read while on vacation in France. I loved many of the annecdotes were hilarious - eg the one about how the gym had no plan for visiting every day they only had a once a week plan. Or the one comparing the French fax error codes to French culture.,8,4,1,79,92.6,32.92,56.26,99.0,15.8,15.19,88.61,68.35,55.7,6.33,3.8,1.27,0.0,1.27,0.0,1.27,2.53,22.78,13.92,1.27,15.19,3.8,8.86,6.33,1.27,11.39,5.06,6.33,2.53,0.0,2.53,0.0,17.72,7.59,10.13,6.33,1.27,0.0,1.27,1.27,2.53,0.0,8.86,8.86,0.0,5.06,5.06,0.0,0.0,0.0,0.0,0.0,11.39,6.33,1.27,0.0,0.0,0.0,1.27,2.53,0.0,0.0,0.0,0.0,5.06,0.0,3.8,1.27,6.33,3.8,0.0,2.53,0.0,0.0,2.53,1.27,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59,6.33,0.0,0.0,3.8,0.0,1.27,1.27,5.06,5.06,1.27,2.53,0.0,0.0,0.0,0.0,0.0,7.59,6.33,0.0,0.0,0.0,0.0,1.27,0
Kevin highly recommended on instagram,4,0,1,5,99.0,,,99.0,5.0,40.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Giving a high rating because I heard the organizer of the Long Now Foundation speak and it was very inspiring. The Interval Cafe in San Francisco is also awesome and has The Long Library in it. 
 The part of the story that I liked most was the power of long thinking. How Oxford College has some gorgeous oak tree beams in their dining room, and they were crumbling, and so they wondered how to replace them. They created a search, and happened to ask the Oxford groundskeeper if any of the oak trees on campus would work, and he said yes, they should use the grove that was planted 500 years ago for that very purpose. So they did, and then planted another grove for 500 years from now. That's the power of long term thinking - how many of us are able to think that far ahead? That story is what inspired the clock, which is getting closer to completion and sounds pretty cool. 
 The book was published in 1999 so I found a bunch of the ideas dated and found myself skimming through them, so only partially read this.",13,4,1,190,44.4,49.45,66.88,69.9,21.11,15.26,90.53,74.21,57.37,13.68,7.37,2.11,0.53,0.0,0.53,4.21,6.32,16.32,8.95,1.58,11.05,7.89,7.89,8.95,0.0,17.37,7.89,5.79,3.16,0.53,1.58,1.05,12.63,0.53,12.11,6.32,3.16,1.05,2.11,0.0,2.11,0.0,3.16,3.16,0.0,1.58,1.58,0.0,0.0,0.0,0.0,0.0,7.89,2.63,0.0,0.0,0.0,0.0,2.63,5.26,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,5.79,0.53,1.05,4.21,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.53,0.0,0.53,0.0,0.0,0.0,2.11,4.74,7.37,0.53,0.0,5.26,0.0,1.05,0.53,6.32,8.42,4.74,0.53,0.53,0.0,0.53,0.0,0.0,10.0,4.21,4.21,0.53,0.0,0.53,0.53,0
"I decided to give up eating processed sugar for the month of January, and so reading a book with this title seemed like it would help me adhere. And not only did it succeed in that goal, but I think it put a permanent, deep scare in me about sugar. The book basically argues that sugar is the root cause of obesity, diabetes, heart disease, and even a lot of cancer. 
 What is interesting is while all of us know that sugar is not good for us, the only thing that people officially blame on overconsumption of it is tooth decay. Obesity is highly correlated with diabetes, heart disease, and a number of other bad things. If you Google for the cause of obesity, you see statements like ""Obesity is generally caused by eating too much and moving too little. If you consume high amounts of energy, particularly fat and sugars, but don't burn off the energy through exercise and physical activity, much of the surplus energy will be stored by the body as fat."" This book makes the argument that a calorie is not a calorie, that sugar is actually toxic, but unlike other toxins it takes decades of overconsumption to show up - which has made it hard to prove. 
 The statistics are fascinating. Fifty years ago, one in eight American adults was obese; today the number is greater than one in three. Diabetes has gone from 1 in 2,000-3,000 to 1 in 7-8, which is an astounding increase. The book listed numerous examples of native populations that suffered from a similar diabetes epidemic after adopting the ""western diets and lifestyle"". What is it about western lifestyle that has done this? The culprit is almost certainly something in the diet, and linked to processed foods - and after reading this book, it seems very logical that sugar is either the root or one of the main root causes. 
 ""By the late 1970s, though, sugar had mostly vanished from the discussion. Dietary fat had been implicated as a cause of heart disease. Nutritionists and public-health authorities responded by rejecting the idea that sugar could be responsible for the diseases that associated with heart disease, which included both obesity and diabetes."" 
 The book gives a fascinating history of how nutritionists and the government have viewed sugar as largely harmless. This included an impressive amount of lobbying from the sugar industry to vindicate themselves. Mind-blowingly, the sugar industry back in the 50's actually advertised sugar as a great, healthy way to get calories. Sugar has never, and largely is still not thought of as a root cause of obesity - the narrative is still more about fats and ""lifestyle"" (i.e. lack of exercise). 
 ""To the sugar industry, it has been the gift that keeps on giving, the ultimate defense against all arguments and evidence that sugar is uniquely toxic. This is the idea that we get obese or overweight because we take in more calories than we expend or excrete. By this thinking, researchers and public-health authorities think of obesity as a disorder of ""energy balance,"" a concept that has become so ingrained in conventional thinking, so widespread, that arguments to the contrary have typically been treated as quackery, if not a willful disavowal of the laws of physics."" 
 ""Fat"" is often the culprit named for people getting fat (even the word is the same!), and thus was born a processed food industry that touts ""low-fat"" items (which are then rich in sugar+salt to offset the bad taste). But looking at populations that eat high fat content but low sugar, shows lower rates of obesity and heart disease. For instance, the French. 
 ""When researchers realized that the French had relatively low rates of heart disease despite a diet that was rich in saturated fats, they wrote it off as an inexplicable ""paradox,"" and ignored the fact that the French traditionally consumed far less sugar than did populations-- the Americans and British, most notably-- in which coronary disease seemed to be a scourge. At the end of the eighteenth century, French per capita sugar consumption was less than a fifth of what it was in England. At the end of the nineteenth century, even after the beet-sugar revolution, France was still lagging far behind both the British and the Americans-- thirty-three pounds for the French compared with eighty-eight for the English and sixty-six for Americans."" 
 Interestingly, when we say ""sugar"" we can actually be referring to a number of things: fructose, glucose, or sucrose. Glucose is used to refer to blood sugar levels in blood, and also comes from eating carb rich foods like bread or potatoes. Sucrose is table sugar, which actually made of part fructose. Fructose is the scary one because ""it is very different from other sugars because it has a different metabolic pathway and is not the preferred energy source for muscles or the brain."". Fructose is found in fruit but as such low levels that it isn't harmful, plus its offset by rich fibers. But high fructose corn syrup? Avoid at all costs. 
 The logic is basically: IF excess sugar (fructose notably) leads to insulin resistance, THEN we can say with confidence that it is likely a root cause of obesity, diabetes, heart disease, and even cancer, as it's been proven to be correlated with all those things. High fat diets - particularly the wrong sorts of fats - are also involved if eaten in excess. The logic seems solid - and yet even searching ""what causes obesity"" you don't see sugar named as a key cause. I'd be very curious to learn from nutritionists what the think of this logic. 
 ""Is it that we're all simply eating too much and exercising too little, which is the one simple answer that the nutritional establishment will embrace in the face of so much evidence to the contrary? Another simple answer, and a more likely one, is sugar.""",26,5,1,986,72.37,20.28,30.53,12.75,22.93,22.62,89.86,69.07,54.56,9.13,2.03,0.51,0.91,0.41,0.0,0.2,7.1,16.43,8.92,2.23,14.1,7.81,5.48,8.32,1.01,13.89,7.91,6.49,2.94,1.12,0.61,1.32,15.31,1.01,14.2,3.35,2.43,0.81,2.74,0.81,5.48,0.0,3.96,1.62,2.33,1.01,0.2,0.81,0.2,0.3,0.0,0.0,4.26,2.43,0.2,0.0,0.41,0.3,1.12,1.83,0.0,0.0,0.0,0.0,1.22,0.3,0.81,0.1,1.93,0.0,0.0,1.42,0.51,0.0,11.97,6.69,3.75,1.22,0.0,0.0,0.0,6.49,0.0,0.0,0.0,0.51,0.1,0.3,0.0,0.2,0.2,0.61,3.04,5.07,0.41,0.41,3.75,0.41,0.0,0.1,2.64,3.96,5.58,0.2,0.0,0.0,0.0,0.0,0.0,17.55,4.36,5.78,0.3,0.1,0.71,6.29,0
"I haven't read a non-fiction book this engaging in some time. This was an amazingly well written autobiography. It read like a fast paced novel through much of it. Many autobiographies are too long - this one if anything is too short! Like many startup companies, the story of Nike (or Blue Ribbon Shoes as it was initially called) is one of trials, tribulations, and lots of passion and grit. I ate it up, and highly recommend it. 
 The most defining moment of the story is Knights ballsy move while backpacking through Japan at the age of 24, to walk into a Japanese shoe manufacturer and say he has a shoe distribution company, and get a exclusive deal for the western US. Gutsy. He ""just did it"" (sorry, but apt). I love learning examples of this kind of ""Do things that don't scale"" start to successful companies (eg Zappos, Amazon, many more). From there the story is one of doubling sales each year, and never quite having enough money on the balance sheet to make it anything but very risky. It was interesting - no fascinating - that Phil had an accounting background, and was well versed that the reason most startups fail is a lack of cash reserves, and yet he had so much faith in his growth and sales that he kept plowing all cash into growth. I loved reading the stories of how they barely made it from one order to the next, how twice they had to switch banks after being cut off. 
 One of the key strategies of Nike's success today is athlete endorsement, and it was interesting to see how that strategy was formed in the early years. How they would offer large sums of money to athletes to wear their shoes - often to athletes already wearing their shoes - double down on people who already like your product. It was doubly interesting that Phil didn't initially believe in the power of advertising - I'd be very curious to hear how his opinion on that changed over time. 
 The story of Prefontaine was a touching one, and one that stayed with me. I wasn't as familiar of the story of Pre, but had heard of him. But I didn't know the role that Nike sponsored him, and even employed him. Reading Phil talk about him, you got a sense of the passion his has for the sport of running. You got a sense that the story of Pre - his passion and drive - is a metaphor for how Nike was built. This quote says it better: 
 ""For eleven laps they ran a half stride apart. With the crowd now roaring, frothing, shrieking, the two men entered the final lap. It felt like a boxing match. It felt like a joust. It felt like a bullfight, and we were down to that moment of truth--death hanging in the air. Pre reached down, found another level--we saw him do it. He opened up a yard lead, then two, then five. We saw Young grimacing and we knew that he could not, would not, catch Pre. I told myself, Don't forget this. Do not forget. I told myself there was much to be learned from such a display of passion, whether you were running a mile or a company."" 
 The book is a fascinating telling of the founding and early history of Nike. But it stops at the IPO, and then gives a chapter postlude. This is my only complaint. It was so well written - keep going! Tell us the story of Just Do It, Air Jordans, and so many more. I could read 4 more volumes of this, as it feels like there is so much more to they story of Nike to learn.",29,5,1,624,54.98,42.88,35.18,63.12,16.42,15.06,87.98,73.56,60.42,14.58,7.53,2.24,0.96,0.64,2.4,1.12,7.05,18.11,7.85,2.56,13.62,8.01,5.77,6.25,1.76,16.99,5.93,7.05,2.72,0.96,1.28,0.64,10.74,0.48,10.26,3.85,1.76,1.12,1.76,0.16,3.04,0.32,2.72,2.72,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,10.9,4.65,0.32,0.0,0.16,0.0,3.21,5.93,0.0,0.0,0.0,2.72,0.16,0.0,0.16,0.0,3.85,0.8,0.0,2.24,0.96,0.16,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.32,0.0,0.64,0.16,0.16,0.0,0.32,0.16,0.96,4.81,8.81,0.32,1.92,4.17,0.8,0.64,1.12,4.33,7.85,3.37,0.16,0.0,0.0,0.0,0.0,0.0,16.99,5.77,5.29,0.0,0.32,1.28,4.33,0
"Kevin Kelly, who is a Wired co-founder, lays out technological trends that are ""inevitable"". Like too many nonfiction books, I found a few chapters to be worth reading, and a few not to be. I enjoyed the sections on AI and books. And sometimes just zooming out to get bigger perspective is engaging, which was the case for me in the sections on VR/AR and tracking. Much of the rest of the book seemed geared for people less technically savvy, which was my only complaint as it really drew the book out. 
 There is a famous saying in software said by Marc Andreeson that ""software is eating the world"". Kelly predicts, I believe correctly, that the next phase of this will be AI: ""It is hard to imagine anything that would ""change everything"" as much as cheap, powerful, ubiquitous artificial"". Kelly's perspective here that while it might feel like innovation in technology is slowing to some, it is much more likely that we are on the brink of the next renaissance, and we will all be ""taking X and adding AI"", much as happened with electricity and then the internet. 
 Kelly correctly identified the three key trends that are making AI an exciting space today: processing power (GPU's), data, and better algorithms. However he didn't dive more into the longest pole: how to get a lot more data than we have today - that seems to me to be the key. But cool to get an overview. He did address one of the big fears about automation that many people have today: will computers take all our jobs? The quick answer is yes, but we'll have new ones. This has already happened multiple times in history. I agree with this, but think the more interesting question is what will happen when we can provide most people the basics (food, water, shelter) for very little cost. This was predicted in Diamond Age, and the answer was ""parking lots and chaos"", and a lot of people with no purpose in life. 
 I also greatly enjoyed the section on books, mostly because (1) Goodreads is mentioned (hey I have paternal pride), and (2) it talks about things we at Goodreads are working on. Such as, the ability to see other peoples notes: ""Reading becomes social. With screens we can share not just the titles of books we are reading, but our reactions and notes as we read them. Today, we can highlight a passage. Tomorrow, we will be able to link passages."" Well, here are my notes from this book! 
 Another big idea that Kelly hits on that I think is big and inevitable is how each book will become networked, much as the WWW has. Once we have ability to have pointers into and out from each sentence of a book, the speed at which ideas will fly out of books will step function. 
 In the goodness of time, as all books become fully digital, every one of them will accumulate the equivalent of blue underlined passages as each literary reference is networked within that book out to all other books. Each page in a book will discover other pages and other books. Thus books will seep out of their bindings and weave themselves together into one large metabook, the universal library. The resulting collective intelligence of this synaptically connected library allows us to see things we can't see in a single isolated book.",14,4,1,572,64.35,46.26,45.4,46.66,20.43,19.06,87.76,70.28,57.17,11.54,5.94,1.92,2.8,0.0,0.35,0.7,5.59,18.18,6.99,1.4,13.99,9.97,3.85,6.47,0.87,16.43,8.92,8.39,5.24,3.32,1.22,0.87,13.29,1.4,11.89,3.85,1.57,0.87,1.4,0.7,3.5,0.0,2.45,2.1,0.35,1.05,0.7,0.17,0.17,0.0,0.0,0.0,7.52,2.45,0.0,0.0,0.17,0.0,1.57,4.55,0.17,0.0,0.0,0.52,2.8,0.0,0.0,2.8,4.72,0.0,0.0,4.2,0.52,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1.05,0.0,0.17,0.0,0.17,0.0,0.52,7.52,7.52,0.0,0.87,5.59,0.7,0.0,0.52,2.97,2.8,5.42,2.8,0.52,0.17,0.35,0.0,0.0,17.13,4.55,5.77,0.17,0.17,0.87,5.59,0
