High Extraversion,Low Extraversion,High Agreeableness,Low Agreeableness,High Conscientiousness,Low Conscientiousness,High Emotional Stability,Low Emotional Stability,High Openness,Low Openness
party,anime,excited,fuck,ready for,xd,success,fucking,". "" ‐",u
cant wait,xd,blessed,fucking,to work,fucking,smh,sick of,‐,cant wait
girls,o.o,wonderful,shit,great day,fuck,lakers,depression,universe,ur
im,>.<,prayers,bitch,thankful,d:,basketball,fuck,art,cant
cant,manga,a great,damn,blessed,fuck you,beach,depressed,i've,dont
baby,t_t,amazing,hell,ready,pokemon,workout,xd,writing,wat
love you,^,a wonderful,bitches,relaxing,shit,soccer,pissed,the universe,wen
lil,_,the lord,ass,a great,: 3,fam,i hate,soul,gud
gettin,internet,an awesome,fucked,workout,:d,blessings,anymore,music,if u
ya,> . >,had a great,wtf,ready to,o.o,beautiful day,lonely,dream,love u
chillin,^ ^,an amazing,fuckin,at work,gay,chillin,pissed off,they're,im
dont,: 3,great day,fuck you,a great day,youtube,praise,sick,death,cant wait for
night with,d:,excited for,bullshit,back to work,anime,the lord,shit,i've been,ng
i love my,.,in christ,a bitch,long day,<3,blessed,crap,that's,coz
hit me up,sigh,psalm,pissed,vacation,: o,volleyball,hate,poetry,..
goin,^_^,thank you,this shit,excited,bored,!,fuck you,dreams,ang
great night,computer,thanksgiving,fucked up,so excited,_,the beach,d:,epic,:(
cant wait to,pokemon,love you all,piss,wonderful,‐.‐,bout to,worse,strange,xx
lovin,x_x,! thank you,kill,success,>.<,god is good,alone,into the,ko
lets,the internet,so excited,fuck off,great day !,meh,yall,dead,sigh,every 1
girl,dx,a great day,what the fuck,thanksgiving,ftw,celtics,hell,zombie,nyt
boys,o_o,proverbs,shitty,had a great,fucked,a beautiful day,stupid,evil,cant wait till
beach,* sigh,church,the hell,blessings,<,greatness,bloody,apparently,cant wait to
aint,>,was amazing,so fucking,a wonderful,dead,game tonight,so fucking,we're,xxx
fam,‐.‐,praise,fuck up,a blast,dx,a blast,x,perhaps,xxxx
an amazing,>_<,merry christmas,drunk,finals,bitch,finals,the hell,i'll,any 1
a blast,. : 3,god has,give a fuck,relax,^,team,. i hate,human,mga
weekend,* sigh *,thankful,bastard,ready for the,:/,proverbs,fucked,deep,:) :)
my girls,sigh *,corinthians,fake,busy,emo,church,bored,dead,nite
ready,t . t,pray for,fucks,semester,x,wit my,kill,shall,miss u
wait to,‐_‐,you lord,f,day at work,kill,weekend,so sick,the world,:@
i love you,x3,was amazing !,dick,weekend,cat,great weekend,nightmare,light,2day
excited,final fantasy,great day !,i hate,getting ready,^ ^,holla,as your status,books,cant wait !
thats,d:<,thankful for,pissed off,thankful for,penis,you lord,fuck off,brain,lng
